"date","total"
1961,26901973.11
1962,28863536.76
1963,31783349.81
1964,33139791.84
1965,35107316.05
1966,33065804.33
1967,32360422.85
1968,35037303.26
1969,33682593.28
1970,34550912.19
1971,36309029
1972,37987351.45
1973,39663638.94
1974,40020727.51
1975,35198221.1
1976,34064502.45
1977,39536017.23
1978,37585341.3
1979,40230524.6
1980,39924611.87
1981,43951364.3
1982,42921795.55
1983,41539951.65
1984,52795335.55
1985,49433968
1986,43355007.92
1987,47357171.99
1988,52057678.27
1989,48539765.47
1990,52364370.95
1991,58740465.4
1992,51016046.11
1993,46442726.13
1994,51597940.13
1995,55213441.02
1996,53747119.05
1997,53053460.31
1998,50689673.42
1999,51398046.99
2000,51795581.1
2001,58790128.87
2002,52598836.19
2003,54502356.3
2004,68933228.14
2005,68187678.6
2006,69312749.08
2007,71329042.82
2008,64564738.24
2009,59626472.49
2010,66757804.34
2011,74780266.64
2012,73145875.19
